koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,ra,dec,koi_kepmag,koi_kmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_eccen,koi_sma,koi_insol,koi_insol_err1,koi_insol_err2,koi_teq,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_incl,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_max_mult_ev,koi_max_sngle_ev,koi_tce_plnt_num,koi_bin_oedp_sig,koi_ldm_coeff1,koi_ldm_coeff2,koi_ldm_coeff3,koi_ldm_coeff4,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_disposition,k2_name,k2_hostname
4859.0,,,0.74,,,,,,,,,,,,178.1611264,-3.0949095,11.668,9.368,11.5044,,,,,,50.285869,,,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE POSITIVE,EPIC 201257461.01,EPIC 201257461
5141.0,38.0,-42.0,10.96,0.82,-0.93,,,,,,,-0.21,0.01,-0.01,178.1611264,-3.0949095,11.668,9.368,11.5044,,,,,,50.27762,0.00785,-0.00785,209.52,99.23,-99.23,,,,,,1466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE POSITIVE,EPIC 201257461.01,EPIC 201257461
,,,0.878,0.018,-0.02,,,,,,,,,,178.6905819,-3.0828192,9.996,8.166,9.78271,,,,,,10.50439,0.00059,-0.00061,1.75,0.15,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201258341.01,EPIC 201258341
,,,0.431,0.051,-0.069,,,,,,,,,,170.382257,-3.0610326,16.809,12.941,16.2552,,,,,,1.684208,2.4e-05,-2.4e-05,5.51,0.67,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201259803.01,EPIC 201259803
,,,0.188,0.01,-0.004,,,,,,,,,,169.5971097,-2.9913978,14.898,10.357,13.8198,,,,,,0.2122013,2.3e-06,-1.8e-06,0.519,0.046,-0.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201264302.01,EPIC 201264302
3468.0,,,0.37,,,,,,,,,,,,169.5971097,-2.9913978,14.898,10.357,13.8198,,,,,,0.21219899,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201264302.01,EPIC 201264302
3299.0,,,0.26,0.05,-0.05,,,,5.106,,,0.155,,,169.5971097,-2.9913978,14.898,10.357,13.8198,,,,,,0.212194,2.6e-05,-2.6e-05,0.77,0.18,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201264302.01,EPIC 201264302
4811.0,,,0.73,,,,,,,,,,,,170.1325248,-2.9026339,12.605,10.401,12.2983,,,,,,1.5778643,,,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201270176.01,EPIC 201270176
5163.0,166.99,-108.12,1.15585,0.065907,-0.089747,0.87,0.120921,-0.093336,4.25178,0.075081,-0.108147,,,,170.1325248,-2.9026339,12.605,10.401,12.2983,,,,,,1.57771549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201270176.01,EPIC 201270176
7333.0,97.84,-154.55,2.56752,0.111879,-0.093196,1.66,0.350747,-0.210514,3.83915,0.105775,-0.058461,,,,170.133417,-2.8982132,9.12,8.438,9.0828,,,,,,1.57771549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201270464.01,HIP 55390
